[rosmaster.main][INFO] 2018-06-11 20:08:31,778: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2018-06-11 20:08:31,779: Starting ROS Master Node
[xmlrpc][INFO] 2018-06-11 20:08:31,780: XML-RPC server binding to 0.0.0.0:11311
[rosmaster.master][INFO] 2018-06-11 20:08:31,782: Master initialized: port[11311], uri[http://0d53e7b9f3a1:11311/]
[xmlrpc][INFO] 2018-06-11 20:08:31,781: Started XML-RPC server [http://0d53e7b9f3a1:11311/]
[xmlrpc][INFO] 2018-06-11 20:08:31,782: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2018-06-11 20:08:31,879: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2018-06-11 20:08:31,883: +PARAM [/roslaunch/uris/host_0d53e7b9f3a1__44049] by /roslaunch
[rosmaster.master][INFO] 2018-06-11 20:08:32,694: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2018-06-11 20:08:32,695: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2018-06-11 20:08:32,696: +PARAM [/robot_description] by /roslaunch
[rosmaster.master][INFO] 2018-06-11 20:08:32,696: +PARAM [/robot_state_publisher/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2018-06-11 20:08:32,696: +PARAM [/cmd_vel_mux/yaml_cfg_file] by /roslaunch
[rosmaster.master][INFO] 2018-06-11 20:08:32,696: +PARAM [/depthimage_to_laserscan/output_frame_id] by /roslaunch
[rosmaster.master][INFO] 2018-06-11 20:08:32,696: +PARAM [/depthimage_to_laserscan/scan_height] by /roslaunch
[rosmaster.master][INFO] 2018-06-11 20:08:32,697: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2018-06-11 20:08:32,697: +PARAM [/depthimage_to_laserscan/range_min] by /roslaunch
[rosmaster.master][INFO] 2018-06-11 20:08:32,697: +PARAM [/bumper2pointcloud/pointcloud_radius] by /roslaunch
[rosmaster.master][INFO] 2018-06-11 20:08:32,713: +SERVICE [/rosout/get_loggers] /rosout http://0d53e7b9f3a1:38843/
[rosmaster.master][INFO] 2018-06-11 20:08:32,724: +SERVICE [/rosout/set_logger_level] /rosout http://0d53e7b9f3a1:38843/
[rosmaster.master][INFO] 2018-06-11 20:08:32,786: +SUB [/clock] /rosout http://0d53e7b9f3a1:38843/
[rosmaster.master][INFO] 2018-06-11 20:08:32,808: +PUB [/rosout_agg] /rosout http://0d53e7b9f3a1:38843/
[rosmaster.master][INFO] 2018-06-11 20:08:32,855: +SUB [/rosout] /rosout http://0d53e7b9f3a1:38843/
[rosmaster.master][INFO] 2018-06-11 20:08:34,490: +PUB [/rosout] /gazebo http://0d53e7b9f3a1:41001/
[rosmaster.master][INFO] 2018-06-11 20:08:34,491: publisherUpdate[/rosout] -> http://0d53e7b9f3a1:38843/ ['http://0d53e7b9f3a1:41001/']
[rosmaster.master][INFO] 2018-06-11 20:08:34,494: publisherUpdate[/rosout] -> http://0d53e7b9f3a1:38843/ ['http://0d53e7b9f3a1:41001/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2018-06-11 20:08:34,499: +SERVICE [/gazebo/get_loggers] /gazebo http://0d53e7b9f3a1:41001/
[rosmaster.master][INFO] 2018-06-11 20:08:34,515: +SERVICE [/gazebo/set_logger_level] /gazebo http://0d53e7b9f3a1:41001/
[rosmaster.master][INFO] 2018-06-11 20:08:34,602: +SUB [/clock] /gazebo http://0d53e7b9f3a1:41001/
[rosmaster.master][INFO] 2018-06-11 20:08:36,417: +PUB [/clock] /gazebo http://0d53e7b9f3a1:41001/
[rosmaster.master][INFO] 2018-06-11 20:08:36,424: +SERVICE [/gazebo/spawn_sdf_model] /gazebo http://0d53e7b9f3a1:41001/
[rosmaster.master][INFO] 2018-06-11 20:08:36,430: +SERVICE [/gazebo/spawn_urdf_model] /gazebo http://0d53e7b9f3a1:41001/
[rosmaster.master][INFO] 2018-06-11 20:08:36,439: +SERVICE [/gazebo/delete_model] /gazebo http://0d53e7b9f3a1:41001/
[rosmaster.master][INFO] 2018-06-11 20:08:36,448: +SERVICE [/gazebo/delete_light] /gazebo http://0d53e7b9f3a1:41001/
[rosmaster.master][INFO] 2018-06-11 20:08:36,455: +SERVICE [/gazebo/get_model_properties] /gazebo http://0d53e7b9f3a1:41001/
[rosmaster.master][INFO] 2018-06-11 20:08:36,462: +SERVICE [/gazebo/get_model_state] /gazebo http://0d53e7b9f3a1:41001/
[rosmaster.master][INFO] 2018-06-11 20:08:36,485: +SERVICE [/gazebo/get_world_properties] /gazebo http://0d53e7b9f3a1:41001/
[rosmaster.master][INFO] 2018-06-11 20:08:36,491: +SERVICE [/gazebo/get_joint_properties] /gazebo http://0d53e7b9f3a1:41001/
[rosmaster.master][INFO] 2018-06-11 20:08:36,502: publisherUpdate[/clock] -> http://0d53e7b9f3a1:38843/ ['http://0d53e7b9f3a1:41001/']
[rosmaster.master][INFO] 2018-06-11 20:08:36,502: publisherUpdate[/clock] -> http://0d53e7b9f3a1:41001/ ['http://0d53e7b9f3a1:41001/']
[rosmaster.master][INFO] 2018-06-11 20:08:36,504: publisherUpdate[/clock] -> http://0d53e7b9f3a1:41001/ ['http://0d53e7b9f3a1:41001/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2018-06-11 20:08:36,505: publisherUpdate[/clock] -> http://0d53e7b9f3a1:38843/ ['http://0d53e7b9f3a1:41001/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2018-06-11 20:08:36,506: +SERVICE [/gazebo/get_link_properties] /gazebo http://0d53e7b9f3a1:41001/
[rosmaster.master][INFO] 2018-06-11 20:08:36,513: +SERVICE [/gazebo/get_link_state] /gazebo http://0d53e7b9f3a1:41001/
[rosmaster.master][INFO] 2018-06-11 20:08:36,521: +SERVICE [/gazebo/get_light_properties] /gazebo http://0d53e7b9f3a1:41001/
[rosmaster.master][INFO] 2018-06-11 20:08:36,526: +SERVICE [/gazebo/set_light_properties] /gazebo http://0d53e7b9f3a1:41001/
[rosmaster.master][INFO] 2018-06-11 20:08:36,533: +SERVICE [/gazebo/get_physics_properties] /gazebo http://0d53e7b9f3a1:41001/
[rosmaster.master][INFO] 2018-06-11 20:08:36,540: +PUB [/gazebo/link_states] /gazebo http://0d53e7b9f3a1:41001/
[rosmaster.master][INFO] 2018-06-11 20:08:36,545: +PUB [/gazebo/model_states] /gazebo http://0d53e7b9f3a1:41001/
[rosmaster.master][INFO] 2018-06-11 20:08:36,559: +SERVICE [/gazebo/set_link_properties] /gazebo http://0d53e7b9f3a1:41001/
[rosmaster.master][INFO] 2018-06-11 20:08:36,565: +SERVICE [/gazebo/set_physics_properties] /gazebo http://0d53e7b9f3a1:41001/
[rosmaster.master][INFO] 2018-06-11 20:08:36,577: +SERVICE [/gazebo/set_model_state] /gazebo http://0d53e7b9f3a1:41001/
[rosmaster.master][INFO] 2018-06-11 20:08:36,585: +SERVICE [/gazebo/set_model_configuration] /gazebo http://0d53e7b9f3a1:41001/
[rosmaster.master][INFO] 2018-06-11 20:08:36,592: +SERVICE [/gazebo/set_joint_properties] /gazebo http://0d53e7b9f3a1:41001/
[rosmaster.master][INFO] 2018-06-11 20:08:36,599: +SERVICE [/gazebo/set_link_state] /gazebo http://0d53e7b9f3a1:41001/
[rosmaster.master][INFO] 2018-06-11 20:08:36,645: +SUB [/gazebo/set_link_state] /gazebo http://0d53e7b9f3a1:41001/
[rosmaster.master][INFO] 2018-06-11 20:08:36,693: +SUB [/gazebo/set_model_state] /gazebo http://0d53e7b9f3a1:41001/
[rosmaster.master][INFO] 2018-06-11 20:08:36,699: +SERVICE [/gazebo/pause_physics] /gazebo http://0d53e7b9f3a1:41001/
[rosmaster.master][INFO] 2018-06-11 20:08:36,707: +SERVICE [/gazebo/unpause_physics] /gazebo http://0d53e7b9f3a1:41001/
[rosmaster.master][INFO] 2018-06-11 20:08:36,721: +SERVICE [/gazebo/apply_body_wrench] /gazebo http://0d53e7b9f3a1:41001/
[rosmaster.master][INFO] 2018-06-11 20:08:36,724: +SERVICE [/gazebo/apply_joint_effort] /gazebo http://0d53e7b9f3a1:41001/
[rosmaster.master][INFO] 2018-06-11 20:08:36,736: +SERVICE [/gazebo/clear_joint_forces] /gazebo http://0d53e7b9f3a1:41001/
[rosmaster.master][INFO] 2018-06-11 20:08:36,742: +SERVICE [/gazebo/clear_body_wrenches] /gazebo http://0d53e7b9f3a1:41001/
[rosmaster.master][INFO] 2018-06-11 20:08:36,749: +SERVICE [/gazebo/reset_simulation] /gazebo http://0d53e7b9f3a1:41001/
[rosmaster.master][INFO] 2018-06-11 20:08:36,754: +SERVICE [/gazebo/reset_world] /gazebo http://0d53e7b9f3a1:41001/
